ResponseId,MainBranch,Age,Employment,EdLevel,Country
66,I am a developer by profession,18-24 years old,"Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Iran, Islamic Republic of..."
67,I am a developer by profession,18-24 years old,"Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
68,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
69,I am a developer by profession,35-44 years old,"Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Netherlands
70,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Croatia
71,"I used to be a developer by profession, but no longer am",35-44 years old,"Not employed, and not looking for work",Some college/university study without earning a degree,Australia
72,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sweden
73,I am a developer by profession,18-24 years old,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Pakistan
74,I am a developer by profession,35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Czech Republic
75,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
76,I am learning to code,25-34 years old,"Not employed, but looking for work",Some college/university study without earning a degree,India
77,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
78,I am a developer by profession,18-24 years old,"Employed, full-time;Student, part-time",Some college/university study without earning a degree,Republic of North Macedonia
79,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
80,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
81,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
82,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Finland
83,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Slovakia
84,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Poland
85,I am a developer by profession,25-34 years old,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
86,I code primarily as a hobby,18-24 years old,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
87,I am a developer by profession,45-54 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United Kingdom of Great Britain and Northern Ireland
88,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Germany
89,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
90,I am learning to code,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
91,I code primarily as a hobby,18-24 years old,I prefer not to say,Some college/university study without earning a degree,Russian Federation
92,I code primarily as a hobby,Under 18 years old,"Student, full-time",Primary/elementary school,Poland
93,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
94,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ireland
95,I am learning to code,Under 18 years old,"Student, part-time",Some college/university study without earning a degree,"Iran, Islamic Republic of..."
96,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Greece
97,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
98,I am a developer by profession,55-64 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",United States of America
99,I am a developer by profession,18-24 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Italy
100,I code primarily as a hobby,Under 18 years old,"Student, full-time",Primary/elementary school,Israel
101,I am a developer by profession,25-34 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United Kingdom of Great Britain and Northern Ireland
102,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
103,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Italy
104,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
105,I am a developer by profession,45-54 years old,"Employed, full-time",Some college/university study without earning a degree,Germany
106,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
107,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",Something else,Italy
108,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
109,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Belgium
110,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Some college/university study without earning a degree,Australia
111,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Greece
112,I am learning to code,18-24 years old,"Student, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
113,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ireland
114,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
115,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",Turkey
116,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
117,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
118,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Some college/university study without earning a degree,Austria
119,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sweden
120,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Mexico
121,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Republic of Tanzania
122,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ireland
123,I code primarily as a hobby,Under 18 years old,I prefer not to say,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
124,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Germany
125,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Japan
126,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Austria
127,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
128,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
129,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
130,I am a developer by profession,35-44 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Sweden
131,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ukraine
132,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Germany
133,I am a developer by profession,18-24 years old,"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ukraine
134,I am a developer by profession,18-24 years old,"Employed, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
135,"I am not primarily a developer, but I write code sometimes as part of my work/studies",65 years or older,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
136,I am a developer by profession,18-24 years old,"Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Hungary
137,I code primarily as a hobby,Under 18 years old,"Not employed, and not looking for work",Primary/elementary school,United States of America
138,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Argentina
139,I code primarily as a hobby,18-24 years old,"Student, full-time",Primary/elementary school,Sweden
140,I am a developer by profession,Under 18 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Pakistan
141,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
142,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Italy
143,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
144,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",Some college/university study without earning a degree,Australia
145,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
146,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
147,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
148,I am a developer by profession,35-44 years old,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
149,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
150,I am a developer by profession,35-44 years old,"Employed, full-time",Some college/university study without earning a degree,Croatia
151,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Turkey
152,I am a developer by profession,35-44 years old,"Not employed, and not looking for work",Some college/university study without earning a degree,Finland
153,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
154,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
155,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
156,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Portugal
157,I am a developer by profession,55-64 years old,"Independent contractor, freelancer, or self-employed",Something else,Netherlands
158,I am a developer by profession,18-24 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",United States of America
159,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sri Lanka
160,I am a developer by profession,18-24 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
161,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Netherlands
162,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Latvia
163,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sri Lanka
164,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Portugal
165,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
166,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
167,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
168,I code primarily as a hobby,18-24 years old,"Student, full-time",Some college/university study without earning a degree,China
169,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Singapore
170,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",China
171,I am a developer by profession,18-24 years old,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Lebanon
172,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
173,I am a developer by profession,18-24 years old,"Employed, full-time",Some college/university study without earning a degree,Romania
174,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Philippines
175,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
176,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United States of America
177,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
178,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Spain
179,I am a developer by profession,55-64 years old,"Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Germany
180,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Some college/university study without earning a degree,United Kingdom of Great Britain and Northern Ireland
181,I am a developer by profession,25-34 years old,"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Portugal
182,I am learning to code,18-24 years old,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Poland
183,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
184,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Canada
185,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Hungary
186,I am a developer by profession,35-44 years old,"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
187,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Russian Federation
188,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,United States of America
189,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Canada
190,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Czech Republic
191,I am a developer by profession,55-64 years old,"Employed, full-time",Some college/university study without earning a degree,Canada
192,I am a developer by profession,35-44 years old,"Employed, full-time",Some college/university study without earning a degree,Bulgaria
193,I am a developer by profession,18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bulgaria
194,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Portugal
195,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
196,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
197,I am a developer by profession,35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Germany
198,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Portugal
199,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
200,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
201,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",South Africa
202,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
203,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,Germany
204,I am learning to code,18-24 years old,"Student, full-time;Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
205,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,United States of America
206,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
207,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Lithuania
208,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",France
209,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Netherlands
210,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
211,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
212,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
213,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Viet Nam
214,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ireland
215,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Dominican Republic
216,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
